source,major_category,subcategory,interface,interface_name,enabled,total_count,pending_count,partial_count,error_count,supports_backfill,backfill_mode,input_params,input_param_details,analysis_date_params,analysis_basis,analysis_doc_id,analysis_doc_url,runtime_supports_backfill,runtime_backfill_mode,runtime_backfill_logic,latest_problem_date,latest_problem_status,latest_error,failure_reason,slow_reason,backfill_logic,iface_type
akshare,,,fund_etf_daily,ETF日线,0,0,0,0,0,True,date,,,,source_passthrough,,,True,date,定时同步=True；backfill=True(date)；运行时类型=AkShareETFDailyInterface,,,,,无明显 backfill 性能瓶颈,定时同步=True；backfill=True(date)；运行时类型=AkShareETFDailyInterface,AkShareETFDailyInterface
akshare,,,index_daily,指数日线,1,320,0,0,0,True,date,,,,source_passthrough,,,True,date,定时同步=True；backfill=True(date)；运行时类型=AkShareIndexDailyInterface,2026-04-30,success,,,无明显 backfill 性能瓶颈,定时同步=True；backfill=True(date)；运行时类型=AkShareIndexDailyInterface,AkShareIndexDailyInterface
akshare,,,stock_zh_index_spot,指数实时行情,1,19,0,0,0,False,date,,,,source_passthrough,,,False,date,定时同步=True；backfill=False(date)；运行时类型=AkShareIndexSpotInterface,2026-05-01,success,Skipped historical backfill for latest-only interface,Skipped historical backfill for latest-only interface,当前接口不支持历史 backfill；pending 多数来自历史状态残留，而非执行慢,定时同步=True；backfill=False(date)；运行时类型=AkShareIndexSpotInterface,AkShareIndexSpotInterface
tushare,股票数据,行情数据,adj_factor,复权因子,1,320,0,0,0,True,range,"ts_code, trade_date, start_date, end_date, offset, limit",ts_code(TS基金代码（支持多只基金输入）)；trade_date(交易日期（格式：yyyymmdd，下同）)；start_date(开始日期)；end_date(结束日期)；offset(开始行数)；limit(最大行数),"trade_date, start_date, end_date",tushare_docs,199,https://tushare.pro/document/2?doc_id=199,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",2026-04-30,success,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date, offset, limit；按区间回补",TushareCatalogInterface
tushare,大模型语料,数据标注,ann_corpus,公告摘要,0,0,0,0,0,True,other,,,,runtime_fallback,,,True,code,官网输入参数不含日期字段；参数=ts_code；按代码维度回补/同步,,,,,接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,官网输入参数不提供代码或日期回补轴；参数=未解析到参数；归类为其他回补方式,TushareCatalogInterface
tushare,资讯数据,上市公司公告,anns_d,上市公司公告,0,0,0,0,0,True,range,"ts_code, ann_date, start_date, end_date",ts_code(股票代码)；ann_date(公告日期（yyyymmdd格式，下同）)；start_date(公告开始日期)；end_date(公告结束日期),"ann_date, start_date, end_date",tushare_docs,176,https://tushare.pro/document/2?doc_id=176,True,code,官网输入参数不含日期字段；参数=ts_code；按代码维度回补/同步,,,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,股票数据,基础数据,bak_basic,股票历史列表,1,322,0,0,0,True,date,"trade_date, ts_code",trade_date(交易日期)；ts_code(股票代码),trade_date,tushare_docs,262,https://tushare.pro/document/2?doc_id=262,True,date,"官网输入参数含日期字段 trade_date；参数=trade_date, ts_code；按单日期回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按日期逐次回补；吞吐受日期跨度和接口配额影响,"官网输入参数含日期字段 trade_date；参数=trade_date, ts_code；按单日期回补",TushareCatalogInterface
tushare,股票数据,行情数据,bak_daily,备用行情,1,320,0,0,0,True,range,"ts_code, trade_date, start_date, end_date, offset, limit",ts_code(股票代码)；trade_date(交易日期)；start_date(开始日期)；end_date(结束日期)；offset(开始行数)；limit(最大行数),"trade_date, start_date, end_date",tushare_docs,255,https://tushare.pro/document/2?doc_id=255,True,date,官网输入参数含日期字段 trade_date；参数=trade_date；按单日期回补,2026-04-30,success,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date, offset, limit；按区间回补",TushareCatalogInterface
tushare,股票数据,财务数据,balancesheet,资产负债表,1,320,0,35,0,True,range,"ts_code, ann_date, start_date, end_date, period, report_type, comp_type",ts_code(股票代码)；ann_date(公告日期(YYYYMMDD格式，下同))；start_date(公告日开始日期)；end_date(公告日结束日期)；period(报告期(每个季度最后一天的日期，比如20171231表示年报，20170630半年报，20170930三季报))；report_type(报告类型：见下方详细说明)；comp_type(公司类型：1一般工商业 2银行 3保险 4证券),"ann_date, start_date, end_date",tushare_docs,36,https://tushare.pro/document/2?doc_id=36,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date, period, report_type, comp_type；按区间回补",2026-04-17,partial,必填参数,必填参数,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date, period, report_type, comp_type；按区间回补",TusharePerSymbolDateCatalogInterface
tushare,债券专题,柜台流通式债券最优报价,bc_bestotcqt,柜台流通式债券最优报价,1,322,0,0,0,True,range,"trade_date, start_date, end_date, ts_code",trade_date(报价日期(YYYYMMDD格式，下同))；start_date(开始日期)；end_date(结束日期)；ts_code(TS代码),"trade_date, start_date, end_date",tushare_docs,323,https://tushare.pro/document/2?doc_id=323,True,range,"官网输入参数含 start_date/end_date；参数=trade_date, start_date, end_date, ts_code；按区间回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=trade_date, start_date, end_date, ts_code；按区间回补",TushareCatalogInterface
